region_code,region_name,annual_co2_rate
SUBRGN,SRNAME,SRCO2AN
AKGD,ASCC Alaska Grid,2292658.457
AKMS,ASCC Miscellaneous,411710.53
AZNM,WECC Southwest,61769179.175
CAMX,WECC California,47342486.547
ERCT,ERCOT All,175076531.801
FRCC,FRCC All,97804509.086
HIMS,HICC Miscellaneous,1466905.376
HIOA,HICC Oahu,4876037.845
MROE,MRO East,17131736.788
MROW,MRO West,110845559.8
NEWE,NPCC New England,27696321.951
NWPP,WECC Northwest,85048260.979
NYCW,NPCC NYC/Westchester,14956294.376
NYLI,NPCC Long Island,5799143.141
NYUP,NPCC Upstate NY,10323051.399
PRMS,Puerto Rico Miscellaneous,13502782.48
RFCE,RFC East,85021258.145
RFCM,RFC Michigan,44468548.656
RFCW,RFC West,238953647.793
RMPA,WECC Rockies,35075879.989
SPNO,SPP North,31660769.923
SPSO,SPP South,68923985.645
SRMV,SERC Mississippi Valley,65228228.092
SRMW,SERC Midwest,65334512.753
SRSO,SERC South,107879089.335
SRTV,SERC Tennessee Valley,93994898.715
SRVC,SERC Virginia/Carolina,94792347.165
