timestamp,region,region_name,fuel_type,generation_mwh
2024-01-01T00,PJM,"PJM Interconnection, LLC",Coal,14814
2024-01-01T00,PJM,"PJM Interconnection, LLC",Natural Gas,40727
2024-01-01T00,PJM,"PJM Interconnection, LLC",Nuclear,33462
2024-01-01T00,PJM,"PJM Interconnection, LLC",Petroleum,210
2024-01-01T00,PJM,"PJM Interconnection, LLC",Other,1008
2024-01-01T00,PJM,"PJM Interconnection, LLC",Solar,21
2024-01-01T00,PJM,"PJM Interconnection, LLC",Hydro,4483
2024-01-01T00,PJM,"PJM Interconnection, LLC",Wind,4494
2024-01-01T01,PJM,"PJM Interconnection, LLC",Coal,14711
2024-01-01T01,PJM,"PJM Interconnection, LLC",Natural Gas,40107
2024-01-01T01,PJM,"PJM Interconnection, LLC",Nuclear,33635
2024-01-01T01,PJM,"PJM Interconnection, LLC",Petroleum,212
2024-01-01T01,PJM,"PJM Interconnection, LLC",Other,1028
2024-01-01T01,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T01,PJM,"PJM Interconnection, LLC",Hydro,3670
2024-01-01T01,PJM,"PJM Interconnection, LLC",Wind,4537
2024-01-01T02,PJM,"PJM Interconnection, LLC",Coal,14459
2024-01-01T02,PJM,"PJM Interconnection, LLC",Natural Gas,39880
2024-01-01T02,PJM,"PJM Interconnection, LLC",Nuclear,33710
2024-01-01T02,PJM,"PJM Interconnection, LLC",Petroleum,214
2024-01-01T02,PJM,"PJM Interconnection, LLC",Other,1031
2024-01-01T02,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T02,PJM,"PJM Interconnection, LLC",Hydro,1959
2024-01-01T02,PJM,"PJM Interconnection, LLC",Wind,4602
2024-01-01T03,PJM,"PJM Interconnection, LLC",Coal,13807
2024-01-01T03,PJM,"PJM Interconnection, LLC",Natural Gas,38530
2024-01-01T03,PJM,"PJM Interconnection, LLC",Nuclear,33739
2024-01-01T03,PJM,"PJM Interconnection, LLC",Petroleum,219
2024-01-01T03,PJM,"PJM Interconnection, LLC",Other,1036
2024-01-01T03,PJM,"PJM Interconnection, LLC",Solar,12
2024-01-01T03,PJM,"PJM Interconnection, LLC",Hydro,1569
2024-01-01T03,PJM,"PJM Interconnection, LLC",Wind,4726
2024-01-01T04,PJM,"PJM Interconnection, LLC",Coal,13674
2024-01-01T04,PJM,"PJM Interconnection, LLC",Natural Gas,38908
2024-01-01T04,PJM,"PJM Interconnection, LLC",Nuclear,33697
2024-01-01T04,PJM,"PJM Interconnection, LLC",Petroleum,220
