source_region,target_region,edge_type
AKGD,AKMS,adjacent_subregion
AZNM,CAMX,adjacent_subregion
AZNM,ERCT,adjacent_subregion
AZNM,MROW,adjacent_subregion
AZNM,NWPP,adjacent_subregion
AZNM,RMPA,adjacent_subregion
AZNM,SPSO,adjacent_subregion
CAMX,NWPP,adjacent_subregion
ERCT,NWPP,adjacent_subregion
ERCT,SPSO,adjacent_subregion
ERCT,SRMV,adjacent_subregion
ERCT,SRMW,adjacent_subregion
FRCC,SRSO,adjacent_subregion
HIMS,HIOA,adjacent_subregion
MROE,MROW,adjacent_subregion
MROE,RFCM,adjacent_subregion
MROE,RFCW,adjacent_subregion
MROW,NWPP,adjacent_subregion
MROW,RFCW,adjacent_subregion
MROW,RMPA,adjacent_subregion
MROW,SPNO,adjacent_subregion
MROW,SRMW,adjacent_subregion
MROW,SRTV,adjacent_subregion
NEWE,NYCW,adjacent_subregion
NEWE,NYLI,adjacent_subregion
NEWE,NYUP,adjacent_subregion
NWPP,RMPA,adjacent_subregion
NWPP,SPSO,adjacent_subregion
NYCW,NYLI,adjacent_subregion
NYCW,NYUP,adjacent_subregion
NYCW,RFCE,adjacent_subregion
NYLI,NYUP,adjacent_subregion
NYUP,RFCE,adjacent_subregion
NYUP,RFCW,adjacent_subregion
RFCE,RFCW,adjacent_subregion
RFCE,SRVC,adjacent_subregion
RFCM,RFCW,adjacent_subregion
RFCW,SPSO,adjacent_subregion
RFCW,SRMV,adjacent_subregion
RFCW,SRMW,adjacent_subregion
RFCW,SRTV,adjacent_subregion
RFCW,SRVC,adjacent_subregion
RMPA,SPNO,adjacent_subregion
RMPA,SPSO,adjacent_subregion
SPNO,SPSO,adjacent_subregion
SPNO,SRMV,adjacent_subregion
SPNO,SRMW,adjacent_subregion
SPSO,SRMV,adjacent_subregion
SPSO,SRMW,adjacent_subregion
SPSO,SRSO,adjacent_subregion
SPSO,SRTV,adjacent_subregion
SRMV,SRMW,adjacent_subregion
SRMV,SRSO,adjacent_subregion
SRMV,SRTV,adjacent_subregion
SRMW,SRSO,adjacent_subregion
SRMW,SRTV,adjacent_subregion
SRSO,SRTV,adjacent_subregion
SRSO,SRVC,adjacent_subregion
SRTV,SRVC,adjacent_subregion
